"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1904.48/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0xb3c3b5823e3f2d97f7b94cd90a27941b425b0913094ddf7da83315c6de193f18","16736910","1677711815","2023-03-01 23:03:35","0xed48da783acbac8d08d82e68221fa0ee4f718899","0x6b8fe181ca3b12e690b37897f64f7800192649e8","","0","0","0","0.002869935553652392","5.46573486321991","1665.59","","","Claim All Rewards",""
"0xa8d79230a75a8c51ba0ff701236c9453255801f2798b9e66aa66e31fde3ba8a9","16736916","1677711887","2023-03-01 23:04:47","0xed48da783acbac8d08d82e68221fa0ee4f718899","0xa356867fdcea8e71aeaf87805808803806231fdc","","0","0","0","0.003676715542704708","7.00223121677026","1665.59","","","Add DVM Liquidity",""
"0x882f6caf594bb458c97dc4db5ea337096c2e1c7d2a7ad7638caa4253a7247d12","16792321","1678385195","2023-03-09 18:06:35","0xed48da783acbac8d08d82e68221fa0ee4f718899","0xad2b9e38123ad5b2612d93430f9909e3753e432e","","0","0","0","0.0044633546778177","8.50036971681025","1437.65","","","Sell Shares",""
"0xb4b94861d996e5d302dd514c54e3f43c9b89e3f14455609841c2a05afc4b1f60","16833393","1678884527","2023-03-15 12:48:47","0xed48da783acbac8d08d82e68221fa0ee4f718899","0x6b8fe181ca3b12e690b37897f64f7800192649e8","","0","0","0","0.005172547972562012","9.8510141627849","1656.21","","","Deposit",""
"0xa0ee1053e8ecf23ab5e9598c60c8ccbcabf5aede1ca9166a92f1a6b349945d96","16849930","1679085251","2023-03-17 20:34:11","0xed48da783acbac8d08d82e68221fa0ee4f718899","0x6b8fe181ca3b12e690b37897f64f7800192649e8","","0","0","0","0.002652960776524122","5.05251073967466","1793.32","","","Claim All Rewards",""
"0x119e5b68c706dc960facac23a82bb8189f8c30d4fda6dc14b05bc41802539969","16849933","1679085287","2023-03-17 20:34:47","0xed48da783acbac8d08d82e68221fa0ee4f718899","0x23ec026590d6cccfece04097f9b49ae6a442c3ba","","0","0","0","0.001139608851775251","2.17036226602893","1793.32","","","Approve",""
"0x9a7c3716cadba584c0d93737b92e5d8483eea0b5471512bdda219621709b7d40","16849935","1679085311","2023-03-17 20:35:11","0xed48da783acbac8d08d82e68221fa0ee4f718899","0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b","","0","0","0","0.003939997939213722","7.50364727527375","1793.32","","","Execute",""
"0x835b20373ee26bb5c7cace9e59e8f646a846b6f2659e635f3a6956ca480915ea","16849941","1679085383","2023-03-17 20:36:23","0xed48da783acbac8d08d82e68221fa0ee4f718899","0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b","","0","0","0","0.002967424320354657","5.65140026962904","1793.32","","","Execute",""
"0x3c226e049624f52bcb2b0b5255351b9565274e4f0a61df6478070283d575e744","16850054","1679086751","2023-03-17 20:59:11","0xed48da783acbac8d08d82e68221fa0ee4f718899","0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b","","0","0","0","0.003839026337408493","7.31134887906773","1793.32","","","Execute",""
"0x4e6bfdbb376168d16764db86ee605415839e35192ea9c153bf868467c73af011","17045579","1681477343","2023-04-14 13:02:23","0xed48da783acbac8d08d82e68221fa0ee4f718899","0x6b8fe181ca3b12e690b37897f64f7800192649e8","","0","0","0","0.004579552405014222","8.72166596430148","2101.61","","","Claim All Rewards",""
